WARNING: System properties and/or JVM args set.  Consider using --dry-run or --exec
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
25   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /opt/solr/solr-4.10.2/hdp/contexts at interval 0
29   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/banana-context.xml
120  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/opt/solr/solr-4.10.2/hdp/webapps/banana.war!/ to /opt/banana/latest/banana-webapp/webapp
313  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /banana, did not find org.apache.jasper.servlet.JspServlet
343  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/solr-jetty-context.xml
1331 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
30475 [qtp631383787-13] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.ThaiWordFilterFactory]. Please consult documentation how to replace it accordingly.
30528 [qtp631383787-13] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
30530 [qtp631383787-13] INFO  org.apache.solr.schema.FileExchangeRateProvider  – Reloading exchange rates from file currency.xml
30537 [qtp631383787-13] INFO  org.apache.solr.schema.FileExchangeRateProvider  – Reloading exchange rates from file currency.xml
30727 [qtp631383787-13] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'tweets' using configuration from instancedir /opt/solr/latest/hdp/solr/tweets/
30728 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – solr.HdfsDirectoryFactory
30738 [qtp631383787-13] INFO  org.apache.solr.core.HdfsDirectoryFactory  – solr.hdfs.home=hdfs://sandbox.hortonworks.com:8020/user/solr
30738 [qtp631383787-13] INFO  org.apache.solr.core.HdfsDirectoryFactory  – Solr Kerberos Authentication disabled
30747 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – [tweets] Opening new SolrCore at /opt/solr/latest/hdp/solr/tweets/, dataDir=hdfs://sandbox.hortonworks.com:8020/user/solr/tweets/data/
30748 [qtp631383787-13] INFO  org.apache.solr.core.JmxMonitoredMap  – No JMX servers found, not exposing Solr information with JMX.
30752 [qtp631383787-13] INFO  org.apache.solr.core.SolrCore  – [tweets] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
